description,poster,rating,title,votes
"Jon and Garfield visit the United Kingdom, where a case of mistaken cat identity finds Garfield ruling over a castle. His reign is soon jeopardized by the nefarious Lord Dargis, who has designs on the estate.","https://m.media-amazon.com/images/M/MV5BMTQwNTcyOTQ5MV5BMl5BanBnXkFtZTYwMTY2NjU3._V1_QL75_UY281_CR0,0,190,281_.jpg",5.0,Garfield: A Tale of Two Kitties,41K
"When an android replica of a boy is rejected by his aggrieved creator, he goes off to find his own identity in an adventure that would make him the greatest hero of his time.","https://m.media-amazon.com/images/M/MV5BMTI5NTEwNTcxMl5BMl5BanBnXkFtZTcwMDEyMTE4Mg@@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.3,Astro Boy,35K
"A group of 15 elite high school students are gathered at a very special, high class high school. To graduate from this high school essentially means you'll succeed in life, but graduating is very difficult. The school is presided over by a bear called Monokuma, and he explains to them that their graduation hinges around committing a murder. The only way to graduate is...","https://m.media-amazon.com/images/M/MV5BNGJjMmNjM2EtMDAyMi00NTVlLTk1OTAtYjdhMmNkZTVlMTNhXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",6.9,Danganronpa: Kibô no gakuen to zetsubô no kôkôsei - The animation,2.2K
"Fleeing their doomed warren, a colony of rabbits struggle to find and defend a new home.","https://m.media-amazon.com/images/M/MV5BYzc3M2UyYjMtMGNiNS00OWI1LTlkYmYtMDRlZTg2ZGNmYzAzXkEyXkFqcGdeQXVyMTA1OTcyNDQ4._V1_QL75_UY281_CR6,0,190,281_.jpg",7.2,Watership Down,5.8K
The adventures of the children of the characters of Fred Rogers' Neighborhood of Make-Believe.,"https://m.media-amazon.com/images/M/MV5BNzk4MjkzMGMtNTNhMy00ZGVkLWJkMDItNGY5NDM1NDQyZGIxXkEyXkFqcGdeQXVyNzcyMTE4NzU@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.4,Daniel Tiger's Neighborhood,1.1K
A man wakes from suspended animation to find himself in a world where only a million men survived an epidemic. He is selected for breeding as part of a repopulation program.,"https://m.media-amazon.com/images/M/MV5BMWJkOTViMmEtMDM0NC00ZTJlLWJkMmItNTAwZTVkMWE1MDM1XkEyXkFqcGdeQXVyODMyNTM0MjM@._V1_QL75_UY281_CR5,0,190,281_.jpg",7.4,Shuumatsu no Harem,24
"A 17 year old socially awkward orphaned shogi player, dealing with adult problems like financial difficulties, loneliness, and depression.","https://m.media-amazon.com/images/M/MV5BODc2ZTk1OTctMTIyNy00Y2U5LThiOTUtN2Y4NGJlYTM0ODE0XkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_QL75_UY281_CR4,0,190,281_.jpg",8.4,Sangatsu No Lion,2.2K
The adventures of a group of ten-year-old friends who fight for the right to do everything that adults restrict from them.,"https://m.media-amazon.com/images/M/MV5BMDk3ODcxOWMtZmFmOC00MDMzLWExNTctYmM4MmQyNjNiOTYzXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY281_CR11,0,190,281_.jpg",7.2,Codename: Kids Next Door,19K
"Seventeen-year-old Hajime Nagumo is your average, everyday otaku. However, his simple life of pulling all-nighters and sleeping in school is suddenly turned upside down when he, along with the rest of his class, is summoned to a fantasy world. They're treated like heroes and tasked with the duty of saving the human race from utter extinction. But what should have been...","https://m.media-amazon.com/images/M/MV5BMmRhOTVlOTctZDQ5Ni00NTg3LWJmMzctMjhiYTMwZDU5Yjc0XkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_QL75_UX190_CR0,2,190,281_.jpg",7.0,Arifureta Shokugyou de Sekai Saikyou,1.8K
"Strange events begin to occur as a withdrawn girl named Lain becomes obsessed with interconnected virtual realm of ""The Wired"".","https://m.media-amazon.com/images/M/MV5BYWY1MWJjODYtMjk5Yy00OGY3LWFjNjctMjJlMDBiMmI0ODk1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.1,Serial Experiments Lain,12K
Vash the Stampede is the most infamous outlaw on the planet Gunsmoke and with a 60 billion double dollar price on his head the most sought after!,"https://m.media-amazon.com/images/M/MV5BNjMyYzg4NDMtYmE1OC00YzAxLTlhZGMtNjIyMWZkZjQyOWZhXkEyXkFqcGdeQXVyNjc3OTE4Nzk@._V1_QL75_UX190_CR0,2,190,281_.jpg",8.3,Trigun,20K
A power-hungry sorcerer curses a princess to live as a swan by day in this tale of everlasting love.,"https://m.media-amazon.com/images/M/MV5BYWMzOWJjYTEtNDhkNC00OTE2LThkODItOTBmYTgwZTQxZWViXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,0,190,281_.jpg",6.5,The Swan Princess,24K
